Rating,min_salary,max_salary,avg_salary,same_state,age,Founded
4.6,81,161,121,1,29,1991
3.8,53,96,74.5,1,18,2002
2.2,61,110,85.5,1,18,2002
3.1,65,96,80.5,1,145,1875
4.6,115,220,167.5,1,29,1991
2.6,71,144,107.5,1,36,1984
3.4,32,57,44.5,1,41,1979
3.3,79,136,107.5,0,131,1889
3.7,50,89,69.5,0,26,1994
3.5,68,129,98.5,0,50,1970
2.7,48,113,80.5,1,59,1961
3.8,27,47,37,1,12,2008
3.7,74,124,99,0,98,1922
3.8,68,125,96.5,1,12,2008
3.3,39,67,53,1,108,1912
2.7,71,135,103,1,9,2011
3.8,107,172,139.5,1,14,2006
3.8,49,85,67,1,55,1965
3,54,71,62.5,0,39,1981
3.9,61,123,92,0,107,1913
3.6,47,85,66,1,40,1980
3.5,65,124,94.5,1,7,2013
3.6,87,141,114,1,31,1989
4.2,56,95,75.5,1,8,2012
4,62,112,87,0,66,1954
3.7,64,108,86,0,14,2006
4.4,89,144,116.5,1,8,2012
3.5,109,200,154.5,1,10,2010
3.6,35,62,48.5,1,34,1986
3.7,61,113,87,0,47,1973
3.4,55,105,80,0,18,2002
4,18,25,21.5,0,43,1977
3.7,135,211,173,0,81,1939
3.5,57,80,68.5,0,23,1997
3.9,63,127,95,0,107,1913
3.2,50,89,69.5,1,62,1958
4.4,82,132,107,1,135,1885
3.9,85,139,112,0,10,2010
3.4,72,121,96.5,0,23,1997
3.7,113,196,154.5,0,239,1781
3.4,69,121,95,0,9,2011
4,71,124,97.5,1,13,2007
4.4,97,160,128.5,1,12,2008
2.6,81,167,124,1,36,1984
3.2,150,238,194,1,14,2006
3.7,24,39,31.5,1,54,1966
3.5,77,132,104.5,1,15,2005
4.3,51,88,69.5,0,51,1969
2.6,101,141,121,1,23,1997
4.2,59,112,85.5,0,12,2008
3.1,79,147,113,0,23,1997
3.8,79,127,103,0,15,2005
3.9,62,119,90.5,0,190,1830
4.3,119,187,153,1,12,2008
3.2,81,132,106.5,0,62,1958
5,120,140,130,1,9,2011
3.3,90,157,123.5,1,32,1988
4.3,63,110,86.5,1,21,1999
3.5,42,86,64,1,24,1996
3.9,32,62,47,1,10,2010
4,116,208,162,1,38,1982
3.9,107,173,140,0,107,1913
3,69,127,98,1,62,1958
3.9,102,172,137,0,107,1913
4,74,124,99,1,105,1915
3.3,40,68,54,1,56,1964
3.2,76,142,109,0,16,2004
3.4,76,142,109,0,21,1999
4.4,108,171,139.5,1,36,1984
3.3,202,306,254,0,108,1912
3.2,91,159,125,1,45,1975
3.8,80,133,106.5,0,24,1996
3.6,21,34,27.5,0,85,1935
2.9,49,97,73,0,8,2012
2.7,49,113,81,1,59,1961
3.1,65,134,99.5,1,145,1875
4,59,125,92,0,14,2006
3.3,32,59,45.5,1,31,1989
4.5,87,158,122.5,1,24,1996
3,27,48,37.5,1,43,1977
3.7,39,69,54,1,168,1852
3.8,36,71,53.5,1,18,2002
3.9,107,173,140,1,52,1968
3.2,56,99,77.5,0,62,1958
3.3,25,28,26.5,1,44,1976
3.1,80,155,117.5,1,145,1875
2.4,43,98,70.5,1,14,2006
4.8,45,78,61.5,1,9,2011
2.9,50,110,80,0,5,2015
2.9,44,96,70,0,5,2015
3.4,61,119,90,1,32,1988
4.1,80,142,111,1,13,2007
3.9,99,178,138.5,1,12,2008
3.6,37,100,68.5,0,169,1851
3.9,62,113,87.5,1,9,2011
3.6,86,137,111.5,0,3,2017
3.9,58,111,84.5,0,190,1830
4.4,72,133,102.5,0,14,2006
2.6,56,91,73.5,1,36,1984
3.6,61,126,93.5,0,53,1967
